Method,Edit,Remove,Add,Approval
OneShot,9.12%,3.01%,12.04%,75.83%
OneShot+Res,6.11%,0%,0%,93.89%
PerGentNoRes,9.03%,0%,0%,90.97%
PerGent,3.10%,0%,0%,96.90%
